,img,tgt,scan_id,slice_id,patient,source,crop_nr
0,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_009.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_009.npy,xVertSeg_004,9,xVertSeg_004,xVertSeg,4
1,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_192.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_192.npy,xVertSeg_004,192,xVertSeg_004,xVertSeg,0
2,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_183.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_183.npy,xVertSeg_004,183,xVertSeg_004,xVertSeg,3
3,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_202.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_202.npy,xVertSeg_004,202,xVertSeg_004,xVertSeg,3
4,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_191.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_191.npy,xVertSeg_004,191,xVertSeg_004,xVertSeg,4
5,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_011.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_011.npy,xVertSeg_004,11,xVertSeg_004,xVertSeg,0
6,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_150.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_150.npy,xVertSeg_004,150,xVertSeg_004,xVertSeg,1
7,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_113.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_113.npy,xVertSeg_004,113,xVertSeg_004,xVertSeg,3
8,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_039.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_039.npy,xVertSeg_004,39,xVertSeg_004,xVertSeg,3
9,/root/space/output/dataset_0_contrast_3/xVertSeg_images/image004/slice_175.npy,/root/space/output/dataset_0_contrast_3/xVertSeg_masks/image004/slice_175.npy,xVertSeg_004,175,xVertSeg_004,xVertSeg,2
